,1,2,3,4,5,6,7,8,9,10,11,12,
A,,,,,,,,,,,,,600
B,0.047,0.051,0.049,0.044,0.042,0.046,,,,,,,600
C,0.049,0.049,0.043,0.049,0.044,0.041,,,,,,,600
D,0.051,0.043,0.044,0.04,0.04,0.041,,,,,,,600
E,0.041,0.045,0.045,0.042,0.042,0.038,,,,,,,600
F,0.047,0.044,0.044,0.043,0.041,0.039,,,,,,,600
G,0.053,0.052,0.043,0.04,0.042,0.039,,,,,,,600
H,,,,,,,,,,,,,600
