,1,2,3,4,5,6,7,8,9,10,11,12,
A,,,,,,,,,,,,,600
B,0.048,0.047,0.338,0.135,0.227,0.041,,,,,,,600
C,0.04,0.045,0.045,0.124,0.239,0.04,,,,,,,600
D,0.039,0.039,0.45,0.13,0.263,0.041,,,,,,,600
E,0.039,0.045,0.042,0.135,0.257,0.039,,,,,,,600
F,0.039,0.04,0.425,0.138,0.298,0.039,,,,,,,600
G,0.041,0.041,0.04,0.144,0.282,0.039,,,,,,,600
H,,,,,,,,,,,,,600
