,1,2,3,4,5,6,7,8,9,10,11,12,
A,,,,,,,,,,,,,600
B,0.048,0.052,0.406,0.131,0.228,0.04,,,,,,,600
C,0.04,0.051,0.041,0.126,0.243,0.04,,,,,,,600
D,0.039,0.039,0.462,0.13,0.275,0.04,,,,,,,600
E,0.04,0.041,0.04,0.134,0.295,0.038,,,,,,,600
F,0.04,0.04,0.452,0.139,0.35,0.039,,,,,,,600
G,0.041,0.041,0.04,0.154,0.326,0.039,,,,,,,600
H,,,,,,,,,,,,,600
