,1,2,3,4,5,6,7,8,9,10,11,12,
A,,,,,,,,,,,,,600
B,0.039,0.042,0.04,0.047,0.182,0.045,,,,,,,600
C,0.039,0.04,0.044,0.047,0.181,0.051,,,,,,,600
D,0.038,0.048,0.044,0.042,0.185,0.045,,,,,,,600
E,0.04,0.044,0.045,0.047,0.183,0.039,,,,,,,600
F,0.041,0.054,0.043,0.044,0.186,0.039,,,,,,,600
G,0.039,0.048,0.039,0.045,0.182,0.039,,,,,,,600
H,,,,,,,,,,,,,600
