,1,2,3,4,5,6,7,8,9,10,11,12,
A,,,,,,,,,,,,,600
B,0.04,0.043,0.043,0.159,0.262,0.041,,,,,,,600
C,0.042,0.166,0.046,0.172,0.252,0.04,,,,,,,600
D,0.043,0.048,0.043,0.166,0.27,0.039,,,,,,,600
E,0.039,0.043,0.043,0.127,0.292,0.039,,,,,,,600
F,0.038,0.232,0.042,0.151,0.351,0.046,,,,,,,600
G,0.043,0.046,0.04,0.167,0.334,0.039,,,,,,,600
H,,,,,,,,,,,,,600
