,1,2,3,4,5,6,7,8,9,10,11,12,
A,,,,,,,,,,,,,600
B,0.04,0.044,0.045,0.135,0.217,0.041,,,,,,,600
C,0.04,0.152,0.045,0.147,0.203,0.041,,,,,,,600
D,0.039,0.053,0.043,0.145,0.223,0.043,,,,,,,600
E,0.039,0.043,0.042,0.117,0.223,0.039,,,,,,,600
F,0.038,0.174,0.042,0.134,0.259,0.054,,,,,,,600
G,0.041,0.045,0.04,0.137,0.253,0.039,,,,,,,600
H,,,,,,,,,,,,,600
