,1,2,3,4,5,6,7,8,9,10,11,12,
A,,,,,,,,,,,,,600
B,0.046,0.044,0.193,0.091,0.22,0.041,,,,,,,600
C,0.039,0.043,0.042,0.096,0.225,0.041,,,,,,,600
D,0.038,0.039,0.214,0.092,0.244,0.042,,,,,,,600
E,0.039,0.042,0.041,0.106,0.232,0.038,,,,,,,600
F,0.039,0.039,0.262,0.093,0.258,0.039,,,,,,,600
G,0.041,0.04,0.041,0.096,0.232,0.04,,,,,,,600
H,,,,,,,,,,,,,600
