,1,2,3,4,5,6,7,8,9,10,11,12,
A,,,,,,,,,,,,,600
B,0.041,0.044,0.047,0.14,0.23,0.042,,,,,,,600
C,0.043,0.158,0.048,0.151,0.227,0.04,,,,,,,600
D,0.045,0.051,0.043,0.147,0.246,0.039,,,,,,,600
E,0.039,0.043,0.043,0.114,0.254,0.039,,,,,,,600
F,0.039,0.186,0.042,0.138,0.302,0.053,,,,,,,600
G,0.046,0.045,0.041,0.145,0.301,0.039,,,,,,,600
H,,,,,,,,,,,,,600
