,1,2,3,4,5,6,7,8,9,10,11,12,
A,,,,,,,,,,,,,600
B,0.039,0.044,0.044,0.094,0.205,0.042,,,,,,,600
C,0.04,0.085,0.045,0.094,0.196,0.043,,,,,,,600
D,0.039,0.049,0.044,0.098,0.188,0.043,,,,,,,600
E,0.041,0.044,0.045,0.126,0.201,0.038,,,,,,,600
F,0.038,0.172,0.042,0.107,0.23,0.039,,,,,,,600
G,0.043,0.047,0.043,0.084,0.22,0.039,,,,,,,600
H,,,,,,,,,,,,,600
