,1,2,3,4,5,6,7,8,9,10,11,12,
A,,,,,,,,,,,,,600
B,0.046,0.047,0.207,0.046,0.192,0.041,,,,,,,600
C,0.038,0.04,0.042,0.041,0.212,0.04,,,,,,,600
D,0.038,0.04,0.057,0.043,0.21,0.04,,,,,,,600
E,0.038,0.052,0.042,0.046,0.207,0.038,,,,,,,600
F,0.038,0.039,0.072,0.046,0.239,0.039,,,,,,,600
G,0.041,0.04,0.041,0.046,0.193,0.039,,,,,,,600
H,,,,,,,,,,,,,600
